# CIS_ID | Check_Type | Path/Privilege | Key_Name/Subcategory | Value_Type | Value_Override
18.10.7.2 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer | NoDriveTypeAutoRun | POLICY_DWORD | 255
18.10.92.4.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate | ManagePreviewBuildsPolicyValue | POLICY_DWORD | 1
18.10.92.4.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate | DeferFeatureUpdatesPeriodInDays | POLICY_DWORD | [180..MAX]
18.10.92.4.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate | DeferQualityUpdatesPeriodInDays | POLICY_DWORD | 0
18.9.20.1.6 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows NT\Printers | DisableHTTPPrinting | POLICY_DWORD | 1
19.7.42.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Installer | AlwaysInstallElevated | POLICY_DWORD | 0
2.2.18 | USER_RIGHTS_POLICY | SeCreateSymbolicLinkPrivilege | | USER_RIGHT | Administrators
2.3.10.4 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Control\Lsa | DisableDomainCreds | POLICY_DWORD | 1
2.3.7.6 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon | CachedLogonsCount | POLICY_DWORD | [0..4]

# 2019 & 2022 custom App Installer
18.10.17.1 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\AppInstaller | EnableAppInstaller | POLICY_DWORD | 0

# 2022 custom Group Policy & processing
18.9.19.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2} | NoGPOListChanges | POLICY_DWORD | 0
18.9.19.4 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Group Policy\{827D319E-6EAC-11D2-A4EA-00C04F79F83A} | NoBackgroundPolicy | POLICY_DWORD | 0
18.9.19.5 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Group Policy\{827D319E-6EAC-11D2-A4EA-00C04F79F83A} | NoGPOListChanges | POLICY_DWORD | 0
18.9.19.7 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System | DisableBkGndGroupPolicy | POLICY_DWORD | 0

# 2022 custom Consumer Experiences
18.10.12.3 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\CloudContent | DisableWindowsConsumerFeatures | POLICY_DWORD | 1

# 2022 custom secure channel
2.3.6.1 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Services\Netlogon\Parameters | RequireSignOrSeal | POLICY_DWORD | 1
2.3.6.2 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Services\Netlogon\Parameters | RequireSeal | POLICY_DWORD | 1
2.3.6.3 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Services\Netlogon\Parameters | RequireSign | POLICY_DWORD | 1

# 2022 custom CTRL+ALT+DEL
2.3.7.1 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System | DisableCAD | POLICY_DWORD | 0

# 2022 custom NTP Server
18.9.51.1.2 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Services\W32Time\TimeProviders\NtpServer | Enabled | POLICY_DWORD | 0

# 2022 custom LAPS
18.9.25.1 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | BackupDirectory | POLICY_DWORD | 2
18.9.25.2 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PasswordExpirationProtectionEnabled | POLICY_DWORD | 1
18.9.25.3 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PasswordEncryptionEnabled | POLICY_DWORD | 2
18.9.25.4 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PasswordComplexity | POLICY_DWORD | 4
18.9.25.5 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PasswordLength | POLICY_DWORD | 8
18.9.25.6 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PasswordAgeDays | POLICY_DWORD | 30
18.9.25.7 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PostAuthenticationResetDelay | POLICY_DWORD | 8
18.9.25.8 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\LAPS | PostAuthenticationActions | POLICY_DWORD | 3

# 2019 & 2022 custom Block Microsoft accounts
2.3.1.1 | REGISTRY_SETTING | SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System | NoConnectedUser | POLICY_DWORD | 3

# 2022 custom registry policy processing & client signing
18.9.19.2 | REGISTRY_SETTING | SOFTWARE\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2} | NoBackgroundPolicy | POLICY_DWORD | 0
2.3.8.2 | REGISTRY_SETTING | SYSTEM\CurrentControlSet\Services\LanmanWorkstation\Parameters | EnableSecuritySignature | POLICY_DWORD | 1


